,name,address,longitude,latitude
81,문정법조,서울특별시 송파구 충민로 5 송파한화오벨리스크,127.11926325196302,37.480105800000004
82,신림역,서울특별시 관악구 신림로 344 SK허브그린,126.9300525,37.485157799999996
83,오목교,서울특별시 양천구 오목로 315,126.8715914,37.5249601
84,목동역,서울특별시 양천구 오목로 238 론드사옥,126.8715914,37.5249601
85,교대,서울특별시 서초구 서초중앙로22길 47 문화빌딩,127.0189385,37.4942201
86,신사,서울특별시 강남구 도산대로 124 대영빌딩,127.0281081,37.51962
87,대청,서울특별시 강남구 일원로3길 4,127.08381,37.49241
88,숭실대,서울특별시 동작구 사당로 12-1,126.9608044,37.4946982
89,화곡역,서울특별시 강서구 강서로 159-1,126.8352338,37.5508352
90,방배,서울특별시 서초구 효령로 111 1층,127.0114198,37.484077
91,중앙대,서울특별시 동작구 흑석로 79,126.9500303,37.5044873
92,서울대,서울특별시 관악구 관악로 156,126.9564157,37.4908796
93,구로디지털,서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리 2차 109호,126.89923622330221,37.4841277
94,강남역,서울특별시 강남구 강남대로96길 12,127.0280578,37.4998794
95,구산역,서울특별시 은평구 서오릉로 150,126.9235907,37.6043279
96,동대문역사문화공원역,서울특별시 중구 장충단로 227-2 1~2F,127.005614,37.5600976
97,국민대학교,서울특별시 성북구 정릉로 77,126.9959431,37.6102921
98,명동성당,서울특별시 중구 명동길 74 명동성당 B118호,126.98601834486585,37.563361900000004
99,건대입구,서울특별시 광진구 아차산로 241 연한빌딩 102호,127.105331,37.5461477
100,성수역,서울특별시 성동구 아차산로 113,127.0633511,37.542457
101,상왕십리,서울 성동구 상왕십리동 806-2 센트라스,127.0387621,37.5604135
102,서울숲,서울특별시 성동구 왕십리로 108-1,127.0441677,37.549734
103,아차산역,서울특별시 광진구 천호대로 666,127.0806118,37.5566093
104,북촌,서울특별시 종로구 율곡로 67,126.9866606,37.5773655
105,용산아이파크몰,서울특별시 용산구 한강대로23길 55,126.9651428,37.5301906
106,미아역,서울특별시 강북구 도봉로 209,127.0288685,37.6198903
107,용산전자랜드,서울특별시 용산구 청파로 74 전자랜드 본관 A동 104호,126.9706533,37.536619
108,응암,서울특별시 은평구 은평로 108 101호,126.9159238,37.599088
109,강변역,서울특별시 광진구 강변역로4길 10,127.0923566,37.5335464
110,광운대역,서울특별시 노원구 광운로 57,127.05812,37.6196
111,구의,서울특별시 광진구 자양로 113 구의 현대 하이엘 103-4호,127.0830614590785,37.537900699999994
112,마포구청,서울특별시 마포구 월드컵로 34길 7,37.5650481,126.903057
113,신당역,서울특별시 중구 퇴계로 388,126.9886592,37.5611737
114,수유역,서울특별시 강북구 오패산로 417,127.03271,37.61982
115,뚝섬유원지역,"서울특별시 광진구 뚝섬로34길 67 광진트라팰리스 101호, 102호",127.06834664793004,37.531672799999996
116,길음뉴타운,서울특별시 성북구 길음로 7길 6,37.6042891,127.022424
117,공덕역롯데캐슬,서울특별시 마포구 마포대로 109 롯데캐슬프레지던트,126.9506748,37.5447608
118,망우,서울특별시 중랑구 용마산로115길 127 한일써너스빌리젠시 1단지,127.097548,37.5985619
119,홍대아트,서울특별시 마포구 와우산로 117 102호,126.92638940039635,37.553411
120,성균관대,서울특별시 종로구 성균관로 41,126.9976609,37.5894396
121,중랑역,서울특별시 중랑구 망우로 203,127.0754321,37.5942221
122,한남,서울특별시 용산구 대사관로 63,126.9993428,37.5349071
123,상수역,서울특별시 마포구 와우산로 44 1층,126.9222125,37.5494357
124,을지로3가,서울특별시 중구 을지로 103-1,127.0108176,37.5650256
125,회현,서울특별시 중구 소공로 35 남산롯데캐슬아이리스,126.9820068,37.5602684
126,연신내,서울특별시 은평구 연서로 215-1,126.9162,37.6094
127,홍제,서울특별시 서대문구 통일로 432-1 1층,126.9474,37.58578
128,미아사거리역,서울특별시 강북구 도봉로 41-1,127.0288685,37.6198903
129,신촌로데오,서울특별시 서대문구 연세로 23,126.9369239,37.5600406
130,순화동라마다,서울특별시 중구 칠패로 27 순화동 the# 주상복합,126.97287,37.55971
131,을지로입구,서울특별시 중구 남대문로 112,126.9826051,37.5658994
132,가재울,서울특별시 서대문구 수색로 100 DMC래미안 e편한세상,126.9027849,37.5772579
133,종로5가,서울특별시 종로구 종로 213-1,127.0038782,37.5710709
134,성신여대,서울특별시 성북구 보문로 34길 78,37.5911442,127.019567
135,합정역메세나폴리스,서울특별시 마포구 양화로 45 메세나폴리스,126.9139625,37.5502395
136,한성대,서울특별시 성북구 동소문로 10,127.0073324,37.5887327
137,노원,서울특별시 노원구 노해로 502,127.0589604,37.6539346
138,광화문,서울특별시 종로구 새문안로 3길 19,37.5719961,126.972506
139,이대,서울특별시 서대문구 이화여대7길 30,126.9439907,37.5587467
140,대학로,서울특별시 종로구 동숭길 101 현대엘리베이터,127.0041529,37.5814585
141,경복궁,서울특별시 종로구 사직로 115,126.9739273,37.5762357
142,연희,서울특별시 서대문구 연희로 93 연희오피스텔,126.9296422,37.5661095
143,남영역,서울특별시 용산구 한강대로 271,126.9724505,37.5423841
144,구파발역,서울특별시 은평구 진관2로 29-21 드림스퀘어,126.9192325,37.6356691
145,상암,서울특별시 마포구 월드컵북로 361 DMC 이안상암2단지,126.915841,37.5610387
146,경희대,서울특별시 동대문구 회기동 16-70,127.05178,37.59433
147,공릉,서울특별시 노원구 공릉로 207,127.06673,37.64522
148,연세대,서울특별시 서대문구 연세로 50-1 연세공학원,126.94057026888541,37.562258400000005
149,종암,서울 성북구 종암로 110,127.03421,37.59958
150,충정로,서울특별시 서대문구 충정로 23 풍산빌딩 지하 2층,126.96287808854686,37.56101865
151,세종대,서울특별시 광진구 광나루로 390,127.0927273,37.5439347
152,망원역,서울특별시 마포구 월드컵로 87 마포로얄프라자,126.9107114,37.5554052
153,시청,서울특별시 중구 세종대로 68 천일빌딩,126.97665558911066,37.56227605
154,안국,서울특별시 종로구 우정국로 69 동일빌딩,126.9829186,37.5710358
155,서울역동자,서울특별시 용산구 후암로 107 게이트웨이타워,126.9747543,37.5534973
156,마포,서울특별시 마포구 마포대로 53 마포트라팰리스,126.9434293,37.5379407
157,숙명여대,서울특별시 용산구 청파로47길 42,126.9678897,37.5441792
158,신촌,서울특별시 서대문구 신촌로 121 아남오피스텔,126.9367767,37.5552729
159,외대,서울특별시 동대문구 이문로 116,127.058122,37.5932665
160,홍대,서울특별시 마포구 홍익로 10,126.92289894999999,37.5533059
161,종로,서울특별시 종로구 종로 77 통일빌딩,127.0038782,37.5710709
162,한양대,서울특별시 성동구 마조로11,37.5589918,127.040655
163,성대,서울특별시 종로구 창경궁로 234 동화빌딩,126.997927,37.568963
