,name,address,latitude,longitude
71,종로YBM점,서울특별시 종로구 종로 104,37.569987,126.9887953
72,수유중앙점,서울특별시 강북구 도봉로 336 (번동),37.6375313,127.0255554
73,압구정로데오점,서울특별시 강남구 압구정로50길 9,37.5276993,127.0382863
74,청담사거리점,서울특별시 강남구 도산대로89길 8 엘에이치빌딩 1층,37.5251859,127.0506275
75,수유역점,서울특별시 강북구 도봉로 87길 8 1층,37.6384385,127.0252149
76,안국점,서울특별시 종로구 율곡로 45 (안국동) 1층,37.5764153,126.9843618
77,종로2가점,서울특별시 종로구 종로12길 21 평구빌딩 1층,37.5690617,126.9859665
78,종각점,서울특별시 종로구 종로 61 1층,37.5704788,126.9841474
79,올리브영 명동 플래그십,서울특별시 중구 명동길 53 1~2층,37.56409158001314,126.98517710459745
80,명동역점,서울특별시 중구 퇴계로 127 1층,37.5611946,126.9858466
81,압구정역점,서울특별시 강남구 논현로 878 중산빌딩 1층,37.5271639,127.0290047
82,을지로입구역점,서울특별시 중구 명동3길 36 지하1층,37.5653563,126.9837218
83,중계역점,서울특별시 노원구 동일로 1335 (상계동),37.6480005,127.0622582
84,명동대로점,서울특별시 중구 퇴계로 120 1층,37.5606563,126.9850729
85,명동중앙점,서울특별시 중구 명동8나길 18 인송빌딩 1층 (충무로1가 22-4),37.5615670147305,126.98400288242
86,암사역점,서울특별시 강동구 올림픽로 769 삼정빌딩 1층,37.5500142,127.1272021
87,압구정점,서울특별시 강남구 논현로175길 6 1층,37.5262787,127.0276472
88,종로1가점,서울특별시 종로구 종로 19 르미에르종로타운 1층,37.5704955,126.9798116
89,학동중앙점,서울특별시 강남구 도산대로 326,37.5223473,127.0377634
90,압구정타운점,서울특별시 강남구 논현로 842 압구정빌딩 1층,37.5242698,127.0287932
91,청담역점,서울특별시 강남구 삼성로 716,37.5199060766075,127.050036555762
92,한남오거리점,서울특별시 용산구 독서당로 65-1,37.533869,127.0077676
93,순천향입구점,서울특별시 용산구 대사관로 71,37.5334153,127.0060003
94,세종로점,서울특별시 종로구 세종대로 161 1층,37.5707262,126.9762765
95,은행사거리점,서울특별시 노원구 한글비석로 264 중계그랜드프라자 1층,37.6510381,127.0772139
96,강남구청역점,서울특별시 강남구 선릉로 703 1층,37.5177449,127.0407782
97,시청역점,서울특별시 중구 세종대로16길 1 1층,37.5635794,126.9771326
98,창동역점,서울특별시 도봉구 노해로63길 84-16,37.6522207,127.0468504
99,천호현대점,서울특별시 강동구 올림픽로 664 1층,37.5406175,127.1249465
100,노원역사거리점,"서울특별시 노원구 노해로 480 조광빌딩 1층,2층",37.6541794204255,127.061435135164
101,창동점,서울특별시 도봉구 마들로11길 57,37.6534909,127.0501774
102,봉은사역점,서울특별시 강남구 영동대로 602,37.5148931,127.0604294
103,천호엔터식스점,"서울특별시 강동구 천호대로 지하 997 지하 1층, 천호엔터식스 012호",37.5385148,127.1251309
104,천호중앙점,서울특별시 강동구 천호대로 1027 일동빌딩 1층,37.5381069,127.1263973
105,노원점,"서울특별시 노원구 상계로 65 105호,106호",37.6564436,127.0622438
106,대한통운본사점,서울특별시 중구 세종대로9길 53 대한통운빌딩 지하1층,37.5619655,126.9728647
107,이태원중앙점,서울특별시 용산구 이태원로 180 스카이하이 2층,37.5342977,126.99421
108,씨제이남산더센터점,서울특별시 중구 소월로2길 12 CJ빌딩,37.554631,126.975995
109,올리브영 가로수길 타운,서울특별시 강남구 도산대로 133,37.5179333,127.0230516
110,서울스퀘어점,서울특별시 중구 한강대로 416 서울스퀘어빌딩 지하1층,37.5555047,126.9738587
111,정동점,서울특별시 중구 새문안로 26,37.5674893,126.9687705
112,강동구청점,서울특별시 강동구 성내로 19,37.5302675,127.1229288
113,명일역점,서울특별시 강동구 양재대로 1637 1층 2호~4호,37.5518296,127.1438177
114,서울역점,서울특별시 중구 한강대로 405,37.556305,126.972153
115,신사점,서울특별시 강남구 도산대로 116 논현빌딩 1층,37.5165782,127.0215513
116,이태원입구점,서울특별시 용산구 이태원로 145,37.5345047,126.9899529
117,학동역점,서울특별시 강남구 학동로 177 태석빌딩 1층,37.5142351,127.0302579
118,덕성여대점,서울특별시 도봉구 삼양로144길 17 1층,37.6517785,127.0138329
