,name,address,longitude,latitude
85,내발산점,서울특별시 강서구 강서로 308,126.8481558,37.5292654
86,건대입구역점,서울특별시 광진구 아차산로 229 1층,127.105331,37.5461477
87,신논현역점,서울특별시 강남구 봉은사로 105,127.05643,37.5135682
88,신림미림여고입구점,서울특별시 관악구 신림로 141,126.9387142,37.470773
89,등촌역점,서울특별시 강서구 공항대로 549,126.8122158,37.5611331
90,성신여대입구역점,서울특별시 성북구 동소문로 120,127.0285694,37.6073574
91,노원역점,서울특별시 노원구 노해로 456,127.0589604,37.6539346
92,회현역점,서울특별시 중구 퇴계로 52 티마크그랜드호텔 명동 1층,126.97839352485087,37.55834245
93,염창역점,서울특별시 양천구 공항대로 630,126.87480860422548,37.5464627
94,경희대점,서울특별시 동대문구 경희대로 1-1,127.0526752,37.593782
95,동대문중학교사거리점,서울특별시 동대문구 답십리로41길 33,127.0540087,37.5735811
96,방배점,서울특별시 서초구 방배로 127 (방배동 925-3),126.9870608,37.4984328
97,목동이마트점,서울특별시 양천구 오목로 299,126.8715914,37.5249601
98,상암점,서울특별시 마포구 월드컵북로 344,126.915841,37.5610387
99,망우점,서울특별시 중랑구 망우로 400,127.09663542313663,37.598773949999995
100,불광점,서울특별시 은평구 통일로 750,126.9158024,37.6409267
101,송정역점,서울특별시 강서구 공항대로 32,126.8122158,37.5611331
102,석촌점,서울특별시 송파구 송파대로 448,127.1064303,37.5065707
103,위례신도시GS점,서울특별시 송파구 위례중앙로43 GS주유소 내,37.5578904,126.9366
104,하계점,서울특별시 노원구 노원로 236,127.06643,37.6573
105,노량진점,서울특별시 동작구 노량진로 169,126.9543166,37.5125967
106,화곡역점,서울특별시 강서구 화곡로 142,126.84779,37.5496816
107,화랑대역점,서울특별시 노원구 노원로 3,127.05669991872924,37.660346849999996
108,면목역점,서울특별시 중랑구 겸재로 180,127.0765889,37.5859709
