,name,type,address,latitude,longitude
68,쮸즈,"딤섬,중식만두",서울특별시 강남구 도산대로17길 13,37.5195272,127.0247044
69,동경산책 석촌호수점,일식당,서울특별시 송파구 백제고분로45길 15,37.5098718,127.1091841
70,1인1잔,"카페,디저트",서울특별시 은평구 연서로 534,37.6094,126.9162
71,코끼리베이글,"카페,디저트",서울특별시 용산구 서빙고로91길 10,37.5223413,126.9998414
72,혜장국,한식,서울특별시 서초구 사평대로56길 4,37.5034632,127.0226797
73,도넛정수 창신점,"카페,디저트",서울특별시 종로구 창신12길 40,37.5785962,127.0106859
74,진작,일식당,서울특별시 중구 수표로12길 12,37.5640847,126.9911773
75,교다이야,"우동,소바",서울특별시 마포구 성지길 39,37.5470686,126.9130995
76,프롤라,"카페,디저트",서울특별시 성동구 연무장17길 5,37.5422567,127.0616048
77,미미면가,일식당,서울특별시 강남구 강남대로160길 29,37.5198118,127.0208127
78,프로토콜,"카페,디저트",서울특별시 서대문구 연희로 109,37.5661095,126.9296422
79,청와옥 본점,"순대,순댓국",서울특별시 송파구 위례성대로 48,37.5123161,127.1271293
80,Jo&Dawson,"카페,디저트",서울특별시 마포구 동교로41길 31,37.5636894,126.9228307
81,땀땀,베트남음식,서울특별시 강남구 강남대로98길 12-5,37.500757,127.0277568
82,연교,"딤섬,중식만두",서울특별시 마포구 연희로1길 65,37.5612923,126.9263655
83,애플하우스,떡볶이,서울특별시 동작구 동작대로27다길 29,37.4865741,126.9804611
84,꾸아 성수점,베트남음식,서울특별시 성동구 서울숲4길 26-24,37.5470545,127.0424257
85,마이시크릿덴,와인,서울특별시 중구 덕수궁길 9,37.56476795,126.9761674
86,콘하스 한남점,"카페,디저트",서울특별시 용산구 이태원로55나길 22,37.5372481,126.9985606
87,무드서울,와인,서울특별시 서초구 올림픽대로 2085-14,37.5096561,126.998354
88,카멜로연남,음식점>양식>양식,서울특별시 마포구 연희로1길 57,37.5612923,126.9263655
89,리사르커피,"카페,디저트",서울특별시 중구 다산로8길 16-7,37.5528823,127.010023
90,한남동한방통닭,"치킨,닭강정",서울특별시 용산구 대사관로34길 38,37.530279,127.006689
91,후추포인트,음식점>양식>양식,서울특별시 강남구 봉은사로6길 30,37.5037347,127.0270998
92,온량,음식점>양식>양식,서울특별시 성동구 서울숲4길 26-10,37.5470545,127.0424257
93,구복만두,만두,서울특별시 용산구 두텁바위로 7,37.5462209,126.9779114
94,뉴욕라츠오베이글스,베이글,서울특별시 강남구 압구정로48길 28,37.5272166,127.0368528
95,구구당,퓨전음식,서울특별시 강남구 강남대로102길 35,37.5027424,127.027595
96,탐광,일식당,서울특별시 성동구 연무장5가길 26,37.5430555,127.0551575
97,히노야마,"우동,소바",서울특별시 양천구 목동서로 349,37.525344,126.8697077
98,정식당,한식,서울특별시 강남구 선릉로158길 11,37.5255948,127.0407734
99,에르제 성수,베이커리,서울특별시 성동구 아차산로 135,37.542457,127.0633511
