name,address,latitude,longitude
대치삼성프라자  ,서울특별시 강남구 영동대로 237,37.5006039,127.0670254
강남역신분당역사  ,서울특별시 강남구 강남대로 396,37.5119737,127.0210057
삼성역  ,서울특별시 강남구 테헤란로 620,37.5069402,127.0565359
테헤란로아남타워  ,서울특별시 강남구 테헤란로 311,37.5037491,127.0448199
강남논현  ,서울특별시 강남구 강남대로 512,37.5119737,127.0210057
삼성동  ,서울특별시 강남구 영동대로96길 12,37.510748500000005,127.06359359999999
역삼이마트  ,서울특별시 강남구 역삼로 310,37.4951535,127.036949
미아뉴타운  ,서울특별시 강북구 삼양로 161,37.6184751,127.0212396
강북구청사거리  ,서울특별시 강북구 도봉로 365,37.6198903,127.0288685
미아사거리역  ,서울특별시 강북구 도봉로 32,37.6198903,127.0288685
수유역  ,서울특별시 강북구 도봉로 342,37.6198903,127.0288685
미아역  ,서울특별시 강북구 도봉로 196,37.6198903,127.0288685
파라스파라서울  ,서울특별시 강북구 삼양로 689,37.6622213,127.013076
발산역사거리  ,서울특별시 강서구 공항대로 248,37.5611331,126.8122158
마곡역  ,서울특별시 강서구 공항대로 168,37.5611331,126.8122158
우장산역  ,서울특별시 강서구 강서로 267,37.5497037,126.8360897
마곡사이언스타워R  ,서울특별시 강서구 마곡동로 62,37.5561708,126.8328521
방화DT  ,서울특별시 강서구 방화대로 375,37.577477,126.8167031
마곡나루역  ,서울특별시 강서구 마곡중앙로 161-17,37.5599103,126.8268895
마곡GMG  ,서울특별시 강서구 마곡중앙6로 16,37.5601401,126.8356108
가양역  ,서울특별시 강서구 양천로 476,37.5733438,126.8167715
화곡DT  ,서울특별시 강서구 등촌로 57,37.5510315,126.8640406
양천향교역  ,서울특별시 강서구 강서로 463,37.5668483,126.8405844
화곡동  ,서울특별시 강서구 화곡로 142,37.5496816,126.84779
등촌  ,서울특별시 강서구 공항대로 329,37.55827755,126.84437119477363
염창역  ,서울특별시 강서구 공항대로 627,37.5472969,126.8745687
발산역  ,서울특별시 강서구 강서로 388,37.5602147,126.8391078
