,location_info,location_href,date_time,daste_title,main_text
0,강남역10번출구,https://www.instagram.com/explore/locations/732654066/10/,2022-08-15T11:49:48.000Z,"8월 15, 2022","gyeongboki_
✅ 강남역 신선한 해산물이 공존하는 곳 “나에코”
맛집경보 : 🚨🚨🚨🚨🚨🚨🚨🚨(8/10개)

강남역에 위치한 신선한 해산물이 공존하는 곳
새롭게 개편된 메뉴 참치마끼, 고등어봉초밥이다.
녹진한게 입안 부드럽게 감싸주는 술 참기 힘든 집
강남역 #나에코

강남역 10번출구 메인 로데오거리 뒷골목에 위치해있어
찾기 힘들지만, 한번 알고나면 꾸준히 가는 집인데요..?
신선한 해산물들로 만들어진 메뉴들 퀄리티는 진짜;;
입 안을 헤엄치는 느낌 강하게 받았구요.

새롭게 개편된 참치마끼는 기름지고 녹진하고 촉촉한
참치의 살결은 부끄러워서 빨개졌구요. 느끼할 수
있는 참치는 와사비 듬뿍 넣어서 드시면 되구요.

신선한 고등어를 적당하게 초절임한 고등어봉초밥
생강향이 강하게 나서 고등어회 비릿함을 완벽히
잡았구요. 비린맛 잘 못드시는 분도 잘 먹네요..

뭐,, 숙성회는 질에 있어서는 🐎 도 필요없구요.
아/묻/따 시키는게 국룰중에 국룰입니다.

강남역 10번출구 메인거리 뒷골목 나에코 추천해요.

#나에코
▪️ 서울 서초구 서초대로73길 42 1층
▫️17:00~02:00(평일)ㅣ16:00~02:00(주말)
▪️연중무휴
▫️매장 앞 주차 2시간 무료

📋 참치마끼 ₩32,000
📋 고등어봉초밥 ₩26,000
📋 숙성회(2인) ₩35,000

#맛집경보_서울 #맛집경보_강남

#서울맛집 #서초맛집 #강남맛집 #강남역맛집
#서울술집 #서초술집 #강남술집 #강남역술집
#후토마끼 #고등어봉초밥 #숙성회 #모듬회
수정됨 · 3일"
1,뚝섬역,https://www.instagram.com/explore/locations/248006568/,2022-08-16T02:52:08.000Z,"8월 16, 2022","min_happy.matzip
🍜평이담백뼈칼국수 탐방🍜
#성수동맛집 #칼국수맛집 #수육맛집 #뚝섬맛집 #저장각
-
맹구가 다녀온 평이담백뼈칼국수 성수점읗 소개해 주려고해 훌쩍💧
-
먼저 여기서 주문한 메뉴는
📍칼국수
📍비빔칼국수
📍덜미수육
📍고기부추만두
-
먼저 이집 칼국수 등뼈가 실하고 양도 푸짐하니 넘 좋더라구 국물도 깊고 칼국수도 쫄깃하니 아주 입에서 춤을 추는 맛이였어
-
비빔칼국수는 양념이 새콤달콤 고소하니 넘 맛났어 칼국수와는 또다른 매력이 있더라구 양도 푸짐하고 등뼈도 가득해서 뼈 발라먹는 재미도 있었어
-
덜미수육 이거 정말 야들야들 쫄깃한게 아주 입에 착착 감기는 맛이였는데 이거 정말 대박이더라구 칼국수면이랑 같이 싸먹기도 좋구 그냥먹어도 넘 맛났어
-
고기부추만두는 속에 다진고기 부추가 푸짐하게 들어있어 향긋하고 넘 맛나더라구 다들 칼국수 먹을때 만두 빠지면 섭한거 알자나
-
다들 성수동에서 맛이깊고 맛있는 평이담백뼈칼국수에 가보는걸 맹구가 정말 강추할게
-
▫️평이담백뼈칼국수 성수점
▫️성수동1가 13-110

#칼국수 #성동구맛집 #평이담백뼈칼국수 #뚝섬 #성수핫플 #점심메뉴
3일"
2,문래창작촌,https://www.instagram.com/explore/locations/428380/,2022-08-16T09:02:32.000Z,"8월 16, 2022","_yamiyomi_
문래동 이영자 킬비빔국수 #문래 #영일분식
소면과는 또 다른 매력을 보여주는 칼국수면 비빔국수이다.

주차도, 자리도 편하지 않지만 칼빔국수 하나만으로도
면러버들은 꼭 한번 들려야할곳:)
주말엔 웨이팅이 장난아니라던데 이번엔 운좋게 한번에
들어갔다. 들어가자마자 웨이팅 끝도없이 생김😲

칼국수는 우리 모두가 아는 ‘그맛’이지만 그래도 맛있었고,
김치랑 진짜 잘 어울렸다
칼비빔은 일단 식감이 새로웠고 야채듬뿍에 양념이 슴슴하지만
맛있음! 조금더 자극적이여도 좋겠다고 생각함 :)
그리고 여기 만두가 진짜 찐맛도리 ㅠㅠ
가격도 너무 좋고 왕크고 속이 꽉찼음!!!!!
간장찍어서 김치랑 먹어도 맛있고 칼비빔이랑 먹어도 진짜
궁합짱….

문래동 올때 가볍게 먹을만한곳 찾을때 한번씩가봐도 좋을듯😋
주변에 예쁜카페도 많고 구경거리도 꽤 있어서 데이트 장소로 추천 :)!

📍영일분식 - 서울 영등포구 도림로141가길 34-1
✔️매주 월요일 정기휴무
✔️영업시간 10:00-20:00
✔️문래역 1번출구

#문래 #문래동맛집 #문래맛집 #문래창작촌 #국수 #비빔국수 #비빔칼국수 #칼국수 #칼국수맛집 #면치기
수정됨 · 2일"
3,이수역,https://www.instagram.com/explore/locations/241996157/,2022-08-16T11:53:47.000Z,"8월 16, 2022","pong._____.pong
@@서울3대 떡볶이 꼬?

떡볶이랑 만두로 레전드찍은집;; #애플하우스
놀면뭐하니에서 유재석이 WSG멤버
데리고간 바로 그 떡뽀끼 맛집
오동통통한 무침만두랑 맵달한 즉석떡볶이가
콜라보했더니 한국인이라면 호불호갈리기 힘든조합;;
접시 터지게 들어간 무침만두는 젓가락으로
야무지게 2개씩 집어 우걱우걱 먹었구요
떡볶이 밀떡은 야들야들 쭬깃쭬깃 미쳐버리고
여기다가 궁물한입 떠드시면
아저씨 소리 절로나와요…크…하
삶은계란은 젓가락으로 집기힘들정도로
탱글탱글한데 퍽퍽한 삶은계란 노른자에
떡볶이 국물 찍먹하면 말해뭐해요..?❤️

떡이랑 계란으로 마음 달랬으면
라면사리 당장 투하해주세요.
라면사리는 무조건 2개요^^(1개 반칙)

일반분식집과는 차원이 다른
마성의 매력을 소유한 집이에요👍
밀떡에 99% 점유율을 차지할만큼
떡볶이 양념이 잘 베어서 씹는 내내
학창시절 추억 강제소환🫠

📍매장: 애플하우스
📍위치: 이수역 10번출구
📍메뉴: 즉석떡볶이(14,000)/ 무침군만두(4,000)

#퐁퐁_이수

#서울맛집 #동작맛집 #동작구맛집 #이수맛집 #총신대맛집 #서울분식 #서울분식맛집 #떡볶이 #떡볶이맛집 #서울떡볶이 #즉석떡볶이 #군만두 #군만두맛집 #만두맛집 #분식맛집
수정됨 · 2일"
4,,,2022-08-17T10:49:12.000Z,"8월 17, 2022","sw__eats
시즌마다 강남역에 꼭 가야 하는 이유가 있어요
#강남 #썸띵어바웃커피

이제는 강남역에서 너무너무 유명한 디저트 천국.
특히나 여름 시즌 초당옥수수 라인이 유명한데,
다들 초당옥수수 막차 타세요!

#옥수수스콘 , 썸어커의 초당옥수수 디저트는 굉장히 유명한데
개인적으로는 옥수수 치즈케이크보다 옥수수 스콘을 선호하는 편! 너무 포슬포슬하거나 목이 콱 막히는 퍽퍽한 식감의 스콘 베이스는 좋아하지 않는데 이곳의 스콘은 부드럽게 부서지면서도
적당한 밀도감! 게다가 옥수수 스콘은 커스터드 크림과
옥수수 크림이 한가득 들어가 있는 엄청난 비주얼.
두 가지 크림 모두 매장에서 직접 제조 하신다는데
달달하면서도 무게감이 있는 초당옥수수 커스터드와
옥수수가 톡톡 씹히는 가벼운 질감의 옥수수 크림.
버터리한 스콘과 달달한 크림의 조합은 안 먹을 수 없죠.
#피스타치오치즈케이크 ,
썸어커 치즈케이크 중 가장 좋아하는 메뉴!
3월부터 5월까지 판매하시는 듯한데 올 초 피스타치오의 매력에
빠졌기에 단숨에 최애 등극. 치즈케이크 베이스에는
피스타치오 페이스트가 들어가 있어 꾸덕하고 찐하니 피스타치오 덕후들이라면 꼭 먹어봐야 하는.
우유크림은 산뜻하고 가벼운 편이고 바삭한 피스타치오 크럼블과 피스타치오 분태가 식감을 더한다.
피스타치오 치즈케이크 베이스 자체가 워낙 맛있는데 얼먹하면
훨씬 꾸덕찐득한 질감으로 또 다른 매력을 보인다.

매 시즌마다 계절감과 잘 어울리는 재료를 이용한 디저트를
선보이는 곳이라 주기적으로 방문하게 되는 디저트 맛집!

📝 추천메뉴
옥수수스콘 ₩5,800
피스타치오 치즈케이크 ₩8,500

🌽 썸띵어바웃커피
서울 강남구 강남대로102길 30 1, 2, 3층

📷photo by. @something_about_coffee_
좋은 공간, 맛있는 디저트 같이가요, 함께 먹어요 @sw__eats

#강남역맛집 #강남역카페 #강남역카페추천 #강남역디저트 #스콘맛집 #스콘 #케이크맛집 #먹스타그램 #먹팔
수정됨 · 1일"
5,파주시,https://www.instagram.com/explore/locations/353128404762763/,2022-08-17T12:54:11.000Z,"8월 17, 2022","bbo_muksta
찐득 쫀득 쫄깃 난리난다. 1500원 대왕떡꼬치로 하루종일 기분이 좋아진다. #요것저것

파주에 대왕떡꼬치로 핫한곳이 있다.바로 요것저것!!! 친구가 추천해준 맛집인데 여기 떡꼬치로 줄세운다. 대왕떡꼬치라 양도많고 저렴해서 완전 갓성비 최고. 튀김종류도 다양하고 분식 종류도 다양하다.

떡꼬치는 매운맛과 순한맛중에 고를 수 있는데 둘다 소스가 감칠맛 넘쳐 흐른다. 떡은 쫄깃 쫀득 하니 식감이 넘 매력적이고 바삭함까지 더해져서 계속 들어가는 맛.순한맛은 달달하고 새콤달콤한게 딱 익숙한 학교앞 분식 떡꼬치에 살짝매콤해서 물리지 않는다. 그리고 매운맛은 생각보다 매워서 단맵단맵 최고.

✔️위치 : 경기 파주시 문산읍 문향로 100-2

✔️떡꼬치(1500)

#파주맛집 #분식맛집 #떡꼬치 #떡맛집 #떡볶이맛집 #파주여행
1일"
6,강남역 근처,https://www.instagram.com/explore/locations/645352472/,2022-08-14T08:45:29.000Z,"8월 14, 2022","min_happy.matzip
🍱맹구의 강남 보슬보슬 탐방🍱
#보슬보슬 #강남역맛집 #키토김밥 #김밥맛집 #저장각
-
맹구가 다녀온 보슬보슬을 소개해 주려고해 훌쩍💧
-
먼저 보슬보슬에서 맛본 메뉴는
📍베이컨키토마요
📍묵참키토마요
📍크래미키토
📍보슬키토
📍미니키토모듬3
📍아삭쫄면
📍명란군만두
📍차돌마늘떡볶이야
-
먼저 이집 키토의 맛을 설명해 줄게 그전에 키토는 안에 밥대신 계란지단으로 가득 채운 건강과 맛까지 함께 챙긴 계란폭탄 김밥이더라구
-
베이컨키토마요는 푸짐하게 들어있는 계란지단 가운데에 쫄깃쫄깃한 베이컨이 들어가 씹는맛도 좋구 넘 맛나더라구
-
묵참키토마요는 생방송투데이에 방송되어 더 유명해진 메뉴더라구 맛은안에 씻은 묵은지와 참치가 어우려져 깊은맛이 장난이 아니더라구 이거 정말 대박이였어
-
크래미키토는 부드러운 크래미살과 미나리와 당근이 잘 어울어 지는게 일품이더라구
-
보슬키토는 당근과미나리로 채워진 이집의 대표메뉴인데 정말 칼로리 걱정없이 맛나게 먹을수 있어 넘 좋았던거 같아
-
미니키토모음3는 묵참키토마요+트러플키토마요+베이컨키토마요인데 위에 설명했던 키토들이 작아진 버전이라 보면돼
-
아삭쫄면 식감이 아삭한 야채들이 듬뿍 들어있고 소스가 새콤달콤한게 아주 입맛을 돋궈 주더라구
-
명란군만두 이거정말 아주 고기랑 명란이랑 잘 어울어져서 깊은맛이 나는게 일품이였어
-
이집 차돌떡볶이도 빠지면 섭하지 차돌이 치즈와 같이 정말 가득 들어있는데 양도 푸짐하고 넘 맛있었어
-
이집 정말 키토가 포슬포슬하고 메뉴도 많구 키토김밥이 하나하나 다 개성있고 맛이 좋은게 넘 좋았구 배달포장도 가능하고 그리구 재료소진시 영업종료라하니까 참고하면 좋을것 같아
-
▫️보슬보슬
▫️서울 강남구 테헤란로8길 22

#강남맛집 #역삼역맛집 #역삼맛집 #역삼동맛집 #김밥 #계란김밥
4일"
7,,,2022-08-18T02:49:38.000Z,"8월 18, 2022","gyeongboki_
✅ 송리단길 산소호흡기 필수인 파스타 전문점
맛집경보 : 🚨🚨🚨🚨🚨🚨🚨🚨🚨(9/10개)

먹고나서 들숨날숨 컨트롤 무적권 해야한다는
수비드한 스테이크 로제크림 파스타구요. 꾸덕한
로제크림과 부드러운 수비드 스테이크의 시/너/지
잠실 송리단길 #돈부리파스타

매콤하고 입 안에 챠-압챱 감기는 스테이크 파스타
꾸덕한게 완전 경복st구요. 스테이크는 수비드해서
극강의 부드러움과 감칠맛 폭발하고요.

매콤 녹진한 수비드한 닭갈비 리조또는 정신나간
꾸덕함으로 입 안을 매료시키는데요. 속살은 부드
럽고 겉은 바-삭한 닭껍질 식감에 리조또..? 못참아.

경복희 취향저격이다보니 들숨날숨 컨트롤 힘들어
산소호흡기 장착했구요. 다 먹을때쯤 산소도 바닥
나서 호흡경련 올 것 같아 엠뷸(택시)타고 집갔네요.

#돈부리파스타 [ @donburipasta_songpa ]
▪️서울 송파구 백제고분로45길 15 지하 1층
▫️11:30~21:00ㅣ15:00~17:00(B/T)
▪️연중무휴
▫️주변 주차장 이용

📋 로제 스테이크 크림파스타 ₩17,500
📋 하우스 비프 스테이크 ₩22,900
📋 매콤 닭갈비 리조또 ₩15,200

#맛집경보_서울 #맛집경보_잠실

#서울맛집 #송파맛집 #잠실맛집 #신천동맛집
#송파구맛집 #송파동맛집 #송리단길맛집
#양식맛집 #수비드스테이크 #로제파스타
수정됨 · 1일"
8,송리단길 SongniDan-gil,https://www.instagram.com/explore/locations/2197339867170927/songnidan-gil/,2022-08-16T00:43:43.000Z,"8월 16, 2022","gonguni
#서보
한국에서 이런 태국 음식을 먹어볼 수 있는곳은 여기가 유일할거에요,,🫶🏻
대사관에서 현직으로 일하는 셰프가 운영하는 태국음식 전문 식당인데 현지 느낌도 나면서 한국식으로 만들어진 맛이에요!

족발덮밥이랑 새우국밥 두 메뉴만 파는데 저는 족발덮밥을 먹었어요!!
족발이 진짜 야들야들하고 누린내 전혀 안나고 부드러워서 한입 먹자마자 사라졌어요..(??) 족발덮밥 자체가 정말 깔끔하고 정갈한 맛이에요!

각종 약재가 들어가서 그런지 익숙하면서 고급스러운 맛.. 특히 고추라임소스랑 같이 곁들여 먹으면 천상의 맛이에요,,

사장님도 너무 친절해서 여기 제 마음속 태국음식 1호 픽입니다,, 재방문 100000000%!!!
3일"
9,더머커피,https://www.instagram.com/explore/locations/102625065622358/,2022-08-19T05:27:39.000Z,"8월 19, 2022","been_cafe_in
@dumber_coffee 더머커피.
커피바보가 되어도 좋은 이유가
가득 묻어났던 공간.
.
.
.
#더머커피 #신대방삼거리카페 #서울맛집 #카페투어 #사진소통 #아이폰사진 #카페사진 #커피여행 #coffee #cafe #seoul #trip #cafe_in
7분"
