,location_info,location_href,date_time,daste_title,main_text
0,"서촌 Seochon Hanok Village, Seoul Korea",https://www.instagram.com/explore/locations/607225924/seochon-hanok-village-seoul-korea/,2022-08-12T08:39:06.000Z,"8월 12, 2022","[종로구] #오버트커피바서촌

서촌까지 영역확장한 오버트 커피🔥

약수에 처음 오픈 했을 때 진짜 자주 갔는데 합정 2호점도 아직인데 벌써 3호점이라니🤣🤣

크림 맛집 답게 크림 순삭했고👀

동생이 궁금하다고 해서 시킨 레사또가 뜻밖의 횡재급으로 맛있었다.

동생도 나도 여기 크림 좋아해서 욕심내고 온통 크림 들어가있는걸 시켰는데 레사또 아니였음 완전 느글거렸을 듯 ㅠㅠ

그래도 여기 크림 못 버려..🥹🥹

시킨 메뉴중에 제일 히트였던건 별 생각없이 시킨 아포가토 브레드!!

가격대는 좀 쎈 것 처럼 보이지만 나온거 보면 그런 생각 쏙 들어간다.
엄청 컸기 때문이다. 내가 본 디저트 중에서 제일 크다. 맘모스급 디저트임.

근데 맛도 있어서🌝🤤 커피 보다 이걸 더 빠르게 먹었다.

이제 서촌 가면 갈만한 카페가 생겨서 좋고🥰 아포가토 브레드 은근 중독성 있던데 날 좋을 때 또 가야지🚀

———————————————
▫️레사또 (8.5)
▫️크림라떼 (6.5)
▫️썸머라떼 (7.0)
▫️아포가토 브레드 (11.5)
———————————————
🏷
위치 : 서울 종로구 필운대로 3
.
영업시간 : 월- 금 8:00-22:00 / 토-일 10:00-22:00
.
공식계정 : @ouvert_seoul"
1,센터커피 - Center Coffee,https://www.instagram.com/explore/locations/103543025654243/-center-coffee/,2022-08-11T10:00:13.000Z,"8월 11, 2022","@centercoffee
여행의 설레는 순간을 센터 커피와 함께.

[광고]

'떠남'을 준비하는 순간과 '도착' 직전의 설렘.
'만남'과 '이별', 여행의 '시작'과 '끝'이 공존하는
서울역 4층에 [센터 커피(CENTER COFFEE)]의
네 번째 공간이 새로운 출발을 알렸다.

노후된 식당층이었던 공간을 전체적으로 리뉴얼하면서
새롭게 인사를 알린
[센터 커피(CENTER COFFEE)]의 네 번째 공간은
멀리서도 시선을 압도하는 블랙과 화이트의
모던함과 세련됨 속
곳곳의 플랜트가 조화를 이뤄 싱그러움을 더하고
층의 한 가운데 자리하고 있어
실내임에도 개방감과 함께 쾌적함이 느껴진다.

매장 주변에는 다양한 작품들도 전시되어 있어
카페를 너머 다양한 문화적 즐거움까지
커피 한잔과 함께 할 수 있는 공간.

친절한 구성원분들의 설명과 응대에
믿고 먹는 커피와 그 밖의 음료를 디저트와 함께 즐길 수 있고
특히, 커피계의 명품 '게이샤 커피'를 브루잉 커피로 즐길 수 있다.

서울의 랜드마크 중 하나인 '서울역'이라는 의미 있는 장소에서
'일상의 작은 사치'를 누리며 여행의 시작과 끝을
여유로운 휴식의 시간과 함께 즐겨보시길.
-
[센터커피(CENTER COFFEE)]
add.
-서울역점
서울 용산구 한강대로 405 : 서울역 4층
연중무휴 : 08:00-21:00
*키즈존
*반려동물 동반가능
*주차 가능 : 서울역 주차장."
2,제뉴어리 피크닉,https://www.instagram.com/explore/locations/215669442580596/,2022-08-10T10:07:20.000Z,"8월 10, 2022","_
복숭아쇼트케이크 n 밀크티케이크(w 피치에이드)
.
_오래만에 방문하는 성북동 터줏대감 디저트 카페 ‘제뉴어리 피크닉’ 에서 즐기는 복숭아 한상🍑
그리고 전부터 궁금했던 밀크티 케이크도 만나보았다(이거 홀케이크가 정말 사랑스럽다🐻)
.
_복숭아를 가장 심플하게 즐겨보자 ‘복숭아 쇼트 케이크’🍑🤍
.
부드러운 제누아즈를 더욱 부드럽게 감싸는 생크림의 달콤함에 아작 부드러운 복숭아의 상콤함과 향긋함을 느낄 수 있는 군더더기없이 깔끔하고 호불없이 즐길 수 있겠다.

_밀크티&모카 ‘밀크티 케이크’🤎
.
포슬하고 부드러운 모카 얼그레이 시트, 부드러운 얼그레이 크림이 향긋하게 퍼지면서 얼그레이맛 섭섭치 않게 보여준다.
쌉싸름한 카라멜 소스가 짙게 잡아주고 여기에 모카맛이 치고 올라오면서 꽤나 자기주장 강하게 맛을 내어주었다.
그래서인지 소프트하지만 으른이맛도 느껴졌다.

_’피치 에이드’💗
.
아삭한 복숭아 셔벗, 달큰한 복숭아 음료는 친숙한 쿨피스맛과 이프로 음료 맛이 떠오르는 은은한 맛의 복숭아 맛으로 비줠도 이쁘지만, 음료 자체도 과하게 달지않고 산뜻하게 즐길 수 있어 좋다.

_제뉴어리피크닉"
3,Muse Furniture Lab,https://www.instagram.com/explore/locations/291014761060675/muse-furniture-lab/,2022-08-14T01:27:37.000Z,"8월 14, 2022","🌟 𝙉𝙚𝙬 𝘾𝙖𝙛𝙚 新 • 啡遊記 - 香港 • 𝗠𝘂𝘀𝗲 𝗙𝘂𝗿𝗻𝗶𝘁𝘂𝗿𝗲 𝗟𝗮𝗯
小編十分愛看真人騷
雖然明知經導演剪接
或是某些參賽者誇大性格
來製造戲劇效果
但在一小時內投入
根本和自己完全沒關係的事情
都是一個不錯的抽離現實方法

剛完成兩季戀愛staycation
原來三位觀察員(Haiey/強尼/Alice)
兩季也身處錦上路Muse
分別第一季在室內梳化區
第二季則移施人造草皮晚間錄影

Muse長期維持人氣畢竟有原因
那種在香港難得一見的空曠感覺
若遇上好天氣即時令好心情飆升百倍
另一強項是食物選擇和出餐速度
由於有限時用餐安排
沒有收窄餐牌項目
店員亦熟練為客人落單
飲品於5分鐘內送達
食物亦緊隨送上
這些都能提升客人用餐體驗

@musefurniturelab

🔅𝘾𝙝𝙞𝙡𝙞 & 𝙂𝙖𝙧𝙡𝙞𝙘 𝙋𝙧𝙖𝙬𝙣 𝙎𝙥𝙖𝙜𝙝𝙚𝙩𝙩𝙞
迅速出餐仍做到
意粉有al dante 口感是驚喜
加上惹味的辣椒蒜片
好吃

🔅 𝙎𝙢𝙤𝙠𝙚𝙙 𝙎𝙖𝙡𝙢𝙤𝙣 𝘾𝙧𝙚𝙖𝙢 𝘾𝙝𝙚𝙚𝙨𝙚 𝘾𝙧𝙚𝙥𝙚
這個法式薄餅似模似樣
味道也不錯

🔅 𝙈𝙖𝙩𝙘𝙝𝙖 𝙍𝙚𝙙 𝘽𝙚𝙖𝙣 𝙎𝙡𝙪𝙨𝙝
宇治抹茶沙冰
加上紅荳蓉和金箔
撇除浮跨
在高溫下點這杯是正確的

🔅𝙈𝙖𝙣𝙜𝙤 𝙎𝙡𝙪𝙨𝙝
友人的芒果沙冰
沒聽到投訴

📍香港 • 元朗 • 錦上路26C號地鋪
.
.
.
.
."
4,선정릉역,https://www.instagram.com/explore/locations/263981057/,2022-08-10T05:34:25.000Z,"8월 10, 2022","⠀
안녕하세요,
hesaidthat입니다.
⠀
607번째 색칠할 카페는 오바게뜨입니다.
⠀
📍서울 강남구 선릉로112길 5
📍11:30~21:00 / 매주 월요일 휴무
📍키즈존
📍반려견 동반 가능 (캐리어 혹은 품속 동반)
📍주차 불가
⠀
⠀
오바게뜨는 선정릉역 인근에 있는 브런치 카페입니다. 개인적으로 강남쪽 카페를 많이 못가본것 같아 늘 아쉬움이 있었던 찰나에 새로운 곳을 발견해서 다녀왔습니다. 주택을 개조해 만든 공간으로 정원이 꽤 넓더라고요, 제 실력보다 외부 사진이 더 잘 나오는 공간인 것 같네요. 정원을 지나 공간에 들어서면 미니멀리즘한 내부를 만날 수 있으며, 오바게뜨가 자랑하는 다양한 바게뜨를 즐길 수 있는데요. 바게뜨 샘플러 메뉴인 “오 브레드”도 꽤 재밌더군요, 브런치로 유명한 곳이지만 저는 “오브레드”와 커피만 즐겼습니다.
⠀
내부는 1~2층으로 운영 중이며, 1층과 2층 분위기가 사뭇 다릅니다. 2층은 조금 더 주택 내부에 있는 느낌이라면, 1층은 일반 카페 느낌이 들었습니다. 직원분들의 응대는 친절했고요, 뭐 색다른 개성보다 근처 오피스상권 직장인 분들의 특별한 점심시간을 함께 해줄 수 있는 공간 인 것 같고요. 바게뜨도 맛있게 먹었네요.
⠀
⠀
📍 원두
⠀
-블렌드를 사용 중입니다.
⠀
⠀
📍커피, 바게뜨
⠀
저는 아메리카노와 오브레드를 주문했는데요, 아메리카노는 아주 옅은 산미와 다크함을 느낄 수 있었습니다. 오브레드는 바게뜨 샘플러로 5-6가지의 바게뜨 조각을 즐길 수 있는 메뉴인데요. 여러가지 맛을 즐길 수 있어 개인적으로는 만족했습니다.
⠀
⠀
🎶 음악
⠀
오바게뜨의 음악은 POP 음악으로 색칠하고 있습니다. 요즘 인디 POP이라고 불리우는 음악들, 그리고 흔하게 들을 수 있는 트렌디한 POP 음악인데요. 음 브런치 카페로서의 공간을 조금 더 짙게 할 수 있다면 오히려 재즈 장르 선택도 나쁘지 않아 보입니다. 주택을 개조해서 만든 카페라는 점, 정원이 있는 공간이라는 점, 베이커리와 브런치를 전문으로 한다는 점, 미니멀리즘한 느낌의 공간이라는 점. 이것들을 음악에 투영시켜보면 지금보다 조금 더 매력적인 선택지가 있을 것 같네요.
⠀
⠀
🧐 히세댓 큐레이션
⠀
👉🏻선정릉역 인근에서 바게뜨 맛집을 찾는 너에게
👉🏻선정릉역 인근에서 정원이 있는 브런치 카페를 찾는 너에게
⠀
⠀
[특별한 점심시간을 만들어 드릴게요, 오바게뜨]
⠀
⠀
재방문지수 ⚫️⚫️⚫️️⚪️⚪️
⠀
⠀
*hesaidthat은 공간의 음악을 큐레이션 하는 큐레이터입니다. 하나의 공간이 더 많은 사람의 발걸음이 닿을 수 있도록 알리고, 소개하는 데 집중합니다. 개인마다 공간에 대해 다른 경험이 있을 수 있습니다. 서로의 경험을 공유하고, 해당 공간을 방문하기 전 참고할 수 있는 도움 되는 피드가 되었으면 합니다.
⠀"
5,런던베이글뮤지엄 도산점,https://www.instagram.com/explore/locations/100782989351948/,2022-08-11T12:06:20.000Z,"8월 11, 2022",무슨 자신감이었을까.. 런던베이글뮤지엄을 오후 5시에 가서는 줄이 없다고 좋아했는데 빵이 그냥 없었다.. #아니없어요 #없었었었어 🥯🥯🥯
6,Nothin coffee 노띵커피,https://www.instagram.com/explore/locations/1034435785/nothin-coffee/,2022-08-12T22:59:20.000Z,"8월 13, 2022","#노띵커피(@nothincoffee)

☕ 커알못의 커피평
• 고소한 커피의 양 날개에
바닐라와 마시멜로를 달고 날아가는 맛

💌 언제갈까
• 유럽식 건축물을 좋아하는 친구에게
보여주고 싶을 때

📍위치: 서울 중구 퇴계로50길 33-2 1층

⏳ 영업시간
• 매일 09:00~19:00(일 휴무)

🔖 추천 Pick
——————————————
🧉 아이스멜로우라떼(₩5,800)

내 주위를 감싸던 소란이
바람처럼 사라진 후

찾아온 정적이 나의 시선을 붙잡는다.

정적의 끝에 다시 찾아올 소란을 기다리며

이 정적을 즐기고 있는
나를 발견한다.

#서울카페 #충무로카페 #중구카페 #퇴계로카페 #로스팅전문 #핸드드립전문카페 #카페스타그램 #카페투어 #노띵커피 #소통환영 #카페 #커피 #coffee #coffeeshop #カフェツアー #カフェコミュニケー #韓国カフェの紹介"
7,노원구 공릉동,https://www.instagram.com/explore/locations/522358115/,2022-08-12T11:31:05.000Z,"8월 12, 2022","@biscuit_floor
[비스킷 플로어(BISCUIT FLOOR)]가 다시 돌아왔다.

2017년 3월의 어느 봄날
경춘선 숲길 거리에 처음 이름과 공간의 인사를 알리며
많은 이들의 휴식과 일상을 함께 해온
[비스킷 플로어(BISCUIT FLOOR)]가
새로운 공간에서의 힘찬 출발을 알렸다.

공릉역에서 더욱 가까워진
주택과 작은 상점들이 함께 모여 있는 평온한 거리에
그동안 로스팅 실로 사용하던 곳을 새롭게 꾸며
우드의 아늑함 속 편안함이 깃든 공간으로 새롭게 완성되었다.

여전히 밝은 맞이와 응대에
커피바(Bar)와 테이블 간의 거리가 한층 가까워져
서로의 안부를 편안히 전할 수 있어 친밀감은 더해지고
이전에 비해 공간의 크기는 작아졌지만 깊이는 더욱 깊어져
짙어진 감성 속 그동안 이곳의 커피를 그리워하는 이들에게
반가운 인사와 함께 훌륭한 커피를 전한다.

새로운 출발을 맞이해 [초이고야(@choi_goya_ )]에서
선물로 주고 가셨다는 귀한 개업빵까지 함께 즐길 수 있어
행복은 배가 되었던 휴식의 시간.

거리를 지나며 반갑게 인사를 건네고,
오늘을 기다려온 많은 이들의 발길이 끊이지 않던
공릉동 일상의 작은 기쁨
[비스킷 플로어(BISCUIT FLOOR)].

새로운 출발을 진심으로 축하하고 앞으로를 응원한다.
-
[비스킷 플로어(BISCUIT FLOOR)]
add.
서울 노원구 동일로190길 8
*가오픈 기간 운영 시간 (8월 12일-14일)
10:00-19:00

*정식 오픈 후
평일 : 08:00-19:00
주말 / 공휴일 : 10:00-19:00
*추후 운영 시간은 계정 확인."
8,상수역,https://www.instagram.com/explore/locations/251074619/,2022-08-14T02:42:16.000Z,"8월 14, 2022","🧁맹구의 꾸울과자점 탐방🧁
#상수카페 #파운드케이크 #쿠키맛집 #카페추천 #저장각
-
맹구가 다녀온 꾸울과자점을 소개해 주려고해 훌쩍💧
-
먼저 여기서 주문한 메뉴는
📍꾸울 슈페너
📍파운드9종
-
먼저 이집 정말 파운드랑 쿠키등 디저트 장난 아니였어 파운드는 종류마다 각자 다른 매력이 있더라구 아침마다 갓 구우셔서 그런지 신선하더라구
-
이집 레몬파운드는 은은하게 오는 레몬향과 위에 올려진 말린레몬이 넘 좋더라구 흑임자 파운드는 흑임자향 가득 중독성 있는 맛이였구 유자파운드는 상큼한 유자향 가득 맛나더라구
-
이집이 또 커피도 장난 아니더라구 꾸울 슈페너를 주문했는데 위에 올려진 크림이 엄청 꾸덕하고 커피는 달달하니 아주 꿀떡꿀떡 맛나게 넘어가고 파운드랑 정말 잘 어울렸어
-
다들 상수에서 맛난 디저트에 커피를 마시고 싶다면 꾸울과자점에 가보는걸 맹구가 정말 강추할게
-
▫️꾸울과자점
▫️상수동 88-14

#상수맛집 #디저트 #디저트카페 #홍대카페 #홍대디저트 #커피맛집"
9,FINZ 핀즈,https://www.instagram.com/explore/locations/106648278750763/finz/,2022-08-14T05:51:17.000Z,"8월 14, 2022","#핀즈 Summer Dessert

‘그린러쉬’ 허브 소르베 취향저격 탕탕🌱🌿💚
‘피치베르’ 소금우유아이스크림에 멜론이 듬뿍🙈

#성수동카페 #성수동디저트맛집 #서울숲카페 #뚝섬카페"
